student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0001,0,1,0,0,2,1,6.05,0,0,4.0,0,0,0,0,5.0,3.5,3.0,4.2,0
MK2_0002,0,0,0,0,4,2,5.75,0,0,5.5,0,0,0,0,6.5,5.0,3.8,5.0,1
MK2_0003,0,1,0,3,1,3,7.8,0,0,7.3,0,0,0,0,8.3,8.5,5.5,7.1,1
MK2_0004,0,0,0,0,2,4,8.15,0,0,8.0,0,0,0,0,9.0,7.5,6.9,7.7,1
MK2_0005,0,0,0,1,1,1,3.75,0,0,2.8,0,0,0,0,3.8,5.3,2.6,3.3,0
MK2_0006,0,0,0,0,2,2,6.05,0,1,6.8,1,3,1,2,7.8,3.0,2.9,5.0,1
MK2_0007,0,0,0,1,2,1,3.0,0,0,3.0,1,0,1,0,4.0,2.8,1.6,2.6,0
MK2_0008,0,0,0,1,1,1,4.9,0,0,3.3,1,0,1,0,4.3,3.8,4.3,4.2,0
MK2_0009,0,0,0,1,1,2,8.3,0,0,7.5,0,0,0,0,8.5,8.5,8.8,8.3,1
MK2_0010,0,0,0,0,1,1,6.3,0,0,6.5,1,0,1,0,7.5,5.3,6.9,6.6,1
MK2_0011,1,0,0,1,2,4,5.3,0,1,5.5,1,1,1,0,6.5,3.3,5.3,5.3,1
MK2_0012,0,0,0,1,1,1,2.65,0,0,2.8,1,0,1,0,3.8,3.0,2.9,2.9,0
MK2_0013,0,1,0,1,1,1,7.0,0,0,5.5,0,0,0,0,6.5,2.8,4.0,5.1,1
MK2_0014,0,1,0,0,4,0,4.65,0,0,5.0,0,0,0,0,6.0,5.0,6.1,5.4,1
MK2_0015,0,1,0,2,1,1,6.0,0,0,6.3,0,0,0,0,7.3,4.0,5.0,5.7,1
MK2_0016,0,0,0,0,2,2,3.05,0,0,4.5,0,0,0,0,5.5,2.0,3.2,3.6,0
MK2_0017,0,1,0,0,2,3,5.5,0,0,2.5,0,0,0,0,3.5,3.3,2.1,3.2,0
