dataset,model,config,group_a,group_b,AUC_a,AUC_b,n_a,n_b,z_stat,p_value
THCSMK,LR,SES-aware,Male×LowSES,Male×HighSES,0.7625768726686157,0.6789297658862875,291,59,1.008998508666114,0.3129753494096694
THCSMK,LR,SES-aware,Male×LowSES,Fem×LowSES,0.7625768726686157,0.7603384094754653,291,272,0.05550552884023887,0.9557357253650238
THCSMK,LR,SES-aware,Male×LowSES,Fem×HighSES,0.7625768726686157,0.7348837209302326,291,53,0.33288415941361815,0.739221727140557
THCSMK,LR,SES-aware,Male×HighSES,Fem×LowSES,0.6789297658862875,0.7603384094754653,59,272,-0.9734407916487611,0.33033427357003964
THCSMK,LR,SES-aware,Male×HighSES,Fem×HighSES,0.6789297658862875,0.7348837209302326,59,53,-0.5047583893085761,0.6137285449195065
THCSMK,LR,SES-aware,Fem×LowSES,Fem×HighSES,0.7603384094754653,0.7348837209302326,272,53,0.3033291971608266,0.7616389975623707
THCSMK,RF,SES-aware,Male×LowSES,Male×HighSES,0.7197298114729307,0.7566889632107023,291,59,-0.4991186178316882,0.6176958223421183
THCSMK,RF,SES-aware,Male×LowSES,Fem×LowSES,0.7197298114729307,0.7920135363790187,291,272,-1.793300453236107,0.07292489498042753
THCSMK,RF,SES-aware,Male×LowSES,Fem×HighSES,0.7197298114729307,0.6941860465116279,291,53,0.284821156922076,0.7757811624029847
THCSMK,RF,SES-aware,Male×HighSES,Fem×LowSES,0.7566889632107023,0.7920135363790187,59,272,-0.48238049915374887,0.6295356715622216
THCSMK,RF,SES-aware,Male×HighSES,Fem×HighSES,0.7566889632107023,0.6941860465116279,59,53,0.5758494151540515,0.5647169694382859
THCSMK,RF,SES-aware,Fem×LowSES,Fem×HighSES,0.7920135363790187,0.6941860465116279,272,53,1.0990817936920465,0.2717323904298148
THCSMK,LR,SES-unaware,Male×LowSES,Male×HighSES,0.7633834055852403,0.6872909698996655,291,59,0.9283015883693566,0.3532511503897189
THCSMK,LR,SES-unaware,Male×LowSES,Fem×LowSES,0.7633834055852403,0.7596615905245347,291,272,0.09228208126794962,0.9264739246917242
THCSMK,LR,SES-unaware,Male×LowSES,Fem×HighSES,0.7633834055852403,0.7372093023255814,291,53,0.31603301879311513,0.7519774461443614
THCSMK,LR,SES-unaware,Male×HighSES,Fem×LowSES,0.6872909698996655,0.7596615905245347,59,272,-0.8747153559878862,0.3817288026442247
THCSMK,LR,SES-unaware,Male×HighSES,Fem×HighSES,0.6872909698996655,0.7372093023255814,59,53,-0.4542164525387098,0.649673042424284
THCSMK,LR,SES-unaware,Fem×LowSES,Fem×HighSES,0.7596615905245347,0.7372093023255814,272,53,0.2686334194627176,0.7882117922740803
THCSMK,RF,SES-unaware,Male×LowSES,Male×HighSES,0.7234348220586754,0.6989966555183946,291,59,0.3004766108634513,0.7638136344731237
THCSMK,RF,SES-unaware,Male×LowSES,Fem×LowSES,0.7234348220586754,0.7832825719120136,291,272,-1.4738806812694247,0.1405137200974007
THCSMK,RF,SES-unaware,Male×LowSES,Fem×HighSES,0.7234348220586754,0.6046511627906976,291,53,1.1926435351388263,0.2330090081271443
THCSMK,RF,SES-unaware,Male×HighSES,Fem×LowSES,0.6989966555183946,0.7832825719120136,59,272,-1.0423947950181724,0.2972286786772087
THCSMK,RF,SES-unaware,Male×HighSES,Fem×HighSES,0.6989966555183946,0.6046511627906976,59,53,0.7752860062559774,0.43817067643892393
THCSMK,RF,SES-unaware,Fem×LowSES,Fem×HighSES,0.7832825719120136,0.6046511627906976,272,53,1.8005245653222401,0.07177784829119616
UCI-Por,LR,SES-aware,Male×LowSES,Male×HighSES,0.8754358775668345,0.9512560929883764,118,148,-2.106916902002124,0.03512478325397561
UCI-Por,LR,SES-aware,Male×LowSES,Fem×LowSES,0.8754358775668345,0.9474384564204923,118,203,-2.057812182597657,0.039608166161017255
UCI-Por,LR,SES-aware,Male×LowSES,Fem×HighSES,0.8754358775668345,0.9716006884681583,118,180,-2.8378016637763084,0.004542539941858825
UCI-Por,LR,SES-aware,Male×HighSES,Fem×LowSES,0.9512560929883764,0.9474384564204923,148,203,0.16959599693502259,0.8653278709264691
UCI-Por,LR,SES-aware,Male×HighSES,Fem×HighSES,0.9512560929883764,0.9716006884681583,148,180,-0.9802473455937628,0.3269640389732231
UCI-Por,LR,SES-aware,Fem×LowSES,Fem×HighSES,0.9474384564204923,0.9716006884681583,203,180,-1.2734151584603604,0.20287076117642666
UCI-Por,RF,SES-aware,Male×LowSES,Male×HighSES,0.8893839597055405,0.9227596550431196,118,148,-0.8922345643850753,0.37226721931858764
UCI-Por,RF,SES-aware,Male×LowSES,Fem×LowSES,0.8893839597055405,0.9287258815701929,118,203,-1.139140103465287,0.25464472302364105
UCI-Por,RF,SES-aware,Male×LowSES,Fem×HighSES,0.8893839597055405,0.9675129087779688,118,180,-2.4171051270776576,0.01564449805157464
UCI-Por,RF,SES-aware,Male×HighSES,Fem×LowSES,0.9227596550431196,0.9287258815701929,148,203,-0.20550628155965608,0.8371765908601181
UCI-Por,RF,SES-aware,Male×HighSES,Fem×HighSES,0.9227596550431196,0.9675129087779688,148,180,-1.697737985926444,0.08955722495286422
UCI-Por,RF,SES-aware,Fem×LowSES,Fem×HighSES,0.9287258815701929,0.9675129087779688,203,180,-1.7551337447451434,0.0792364335067961
UCI-Por,LR,SES-unaware,Male×LowSES,Male×HighSES,0.8762107710189849,0.9523809523809523,118,148,-2.1296781126508595,0.03319819719615813
UCI-Por,LR,SES-unaware,Male×LowSES,Fem×LowSES,0.8762107710189849,0.9479374584165003,118,203,-2.058279078909162,0.03956335129255906
